                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     25,                0.50734,                0.98112,                0.37706,                0.95786,                0.80996,                0.84812,                0.88777,                0.73394,                0.83409,                0.85225,                 0.8963,                0.70231,                      0,                      0,                    inf,                      0,              0.0007624,              0.0007624,              0.0007624
                     26,                0.50257,                 0.9425,                0.36779,                0.96099,                0.85713,                0.82719,                0.88453,                0.72799,                0.88654,                0.78455,                0.87676,                0.68696,                      0,                      0,                    inf,                      0,              0.0007525,              0.0007525,              0.0007525
                     27,                0.50476,                0.95265,                0.36354,                0.95416,                0.82311,                0.81702,                0.87716,                0.72361,                0.83372,                0.79777,                0.87174,                0.68236,                      0,                      0,                    inf,                      0,              0.0007426,              0.0007426,              0.0007426
                     28,                0.50725,                0.95284,                 0.3669,                0.95951,                0.87641,                0.81297,                0.89544,                0.73914,                0.87985,                0.82031,                 0.8895,                0.70718,                      0,                      0,                    inf,                      0,              0.0007327,              0.0007327,              0.0007327
                     29,                0.49136,                0.92604,                0.35395,                0.94896,                0.88987,                0.83517,                 0.9031,                0.75484,                0.90103,                0.81908,                0.89482,                 0.7194,                      0,                      0,                    inf,                      0,              0.0007228,              0.0007228,              0.0007228
                     30,                0.49873,                 0.9474,                0.34957,                 0.9561,                0.88185,                 0.8054,                0.89286,                0.74115,                0.88905,                 0.7846,                0.88251,                0.70938,                      0,                      0,                    inf,                      0,              0.0007129,              0.0007129,              0.0007129
                     31,                0.49401,                0.93141,                0.34899,                0.95649,                 0.8593,                0.84755,                0.88362,                0.72822,                0.85907,                0.84897,                0.88249,                0.70116,                      0,                      0,                    inf,                      0,               0.000703,               0.000703,               0.000703
                     32,                0.49372,                0.92211,                0.34797,                0.95215,                0.86658,                0.85521,                0.90131,                0.75077,                0.86215,                0.85347,                0.89167,                0.71346,                      0,                      0,                    inf,                      0,              0.0006931,              0.0006931,              0.0006931
                     33,                0.49089,                0.91601,                0.34094,                0.94902,                0.90738,                0.86142,                0.91355,                0.75884,                0.89687,                0.85175,                0.90034,                0.72184,                      0,                      0,                    inf,                      0,              0.0006832,              0.0006832,              0.0006832
                     34,                0.48368,                0.92361,                0.34572,                 0.9456,                0.85002,                0.83994,                0.89645,                0.74093,                0.84643,                0.83125,                0.88702,                0.70129,                      0,                      0,                    inf,                      0,              0.0006733,              0.0006733,              0.0006733
                     35,                0.49021,                0.91781,                0.34602,                0.95408,                0.86465,                 0.8526,                0.90418,                0.75258,                0.85365,                0.84332,                0.88802,                0.71396,                      0,                      0,                    inf,                      0,              0.0006634,              0.0006634,              0.0006634
                     36,                0.48553,                0.89605,                0.33872,                0.95078,                0.87388,                0.86762,                0.90185,                0.75922,                0.86343,                0.85794,                0.88607,                0.71004,                      0,                      0,                    inf,                      0,              0.0006535,              0.0006535,              0.0006535
                     37,                0.48104,                0.88822,                0.32739,                 0.9415,                 0.8897,                0.85883,                0.90151,                0.74978,                0.88018,                0.84992,                0.89066,                0.70773,                      0,                      0,                    inf,                      0,              0.0006436,              0.0006436,              0.0006436
                     38,                0.48261,                0.89533,                0.33183,                0.94171,                0.91139,                0.84641,                0.90449,                0.76087,                0.90111,                0.83746,                0.89348,                0.72837,                      0,                      0,                    inf,                      0,              0.0006337,              0.0006337,              0.0006337
                     39,                0.47536,                0.87393,                0.32649,                0.94139,                0.88893,                0.88654,                 0.9253,                0.76202,                 0.8788,                0.87759,                0.91474,                0.72496,                      0,                      0,                    inf,                      0,              0.0006238,              0.0006238,              0.0006238
                     40,                0.48439,                0.90201,                0.33016,                0.94757,                0.91639,                0.81899,                0.90227,                0.76105,                0.90965,                0.81252,                0.88972,                0.72167,                      0,                      0,                    inf,                      0,              0.0006139,              0.0006139,              0.0006139
