                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     26,                  1.069,                 2.4084,                0.72257,                 1.3056,                0.82369,                0.76795,                0.82458,                0.62668,                0.83341,                0.77329,                0.84276,                0.60204,                      0,                      0,                    inf,                      0,               0.007525,               0.007525,               0.007525
                     27,                 1.0794,                 2.3823,                0.73151,                  1.321,                 0.7599,                0.72256,                0.76833,                0.58159,                0.75885,                0.72346,                0.77324,                0.54952,                      0,                      0,                    inf,                      0,               0.007426,               0.007426,               0.007426
                     28,                 1.0719,                 2.3752,                0.72972,                 1.3089,                0.75281,                0.71195,                0.78077,                0.59824,                0.75895,                0.71523,                0.78452,                0.57211,                      0,                      0,                    inf,                      0,               0.007327,               0.007327,               0.007327
                     29,                 1.0648,                 2.3624,                0.70641,                 1.2953,                 0.7163,                0.78168,                0.78912,                0.59162,                0.72313,                0.78611,                0.79244,                0.55952,                      0,                      0,                    inf,                      0,               0.007228,               0.007228,               0.007228
                     30,                 1.0636,                 2.3849,                0.70643,                 1.2975,                0.75568,                0.75029,                0.81326,                0.63624,                0.76324,                0.76076,                0.82345,                0.58757,                      0,                      0,                    inf,                      0,               0.007129,               0.007129,               0.007129
                     31,                 1.0329,                 2.2943,                0.67802,                 1.2817,                0.74684,                0.72025,                0.77804,                0.60481,                0.77915,                0.68457,                0.78309,                0.54715,                      0,                      0,                    inf,                      0,                0.00703,                0.00703,                0.00703
                     32,                 1.0566,                 2.3301,                0.69085,                 1.3022,                0.77671,                0.72994,                0.79241,                0.61054,                0.77994,                0.73638,                0.80376,                0.56145,                      0,                      0,                    inf,                      0,               0.006931,               0.006931,               0.006931
                     33,                 1.0291,                 2.3192,                0.67913,                 1.2655,                0.80353,                0.71032,                0.77863,                0.61514,                0.81249,                0.71565,                0.79417,                0.58172,                      0,                      0,                    inf,                      0,               0.006832,               0.006832,               0.006832
                     34,                 1.0084,                 2.2618,                 0.6536,                  1.259,                0.75906,                0.77282,                0.80178,                0.62522,                0.76448,                0.77837,                0.81064,                 0.5915,                      0,                      0,                    inf,                      0,               0.006733,               0.006733,               0.006733
                     35,                 1.0137,                 2.2517,                0.65858,                 1.2721,                0.75199,                0.77035,                0.80696,                0.62284,                 0.7587,                0.77741,                0.82145,                0.58632,                      0,                      0,                    inf,                      0,               0.006634,               0.006634,               0.006634
                     36,                 1.0331,                 2.2848,                0.66655,                 1.2759,                0.82728,                0.79815,                0.83916,                0.65564,                0.84226,                0.80802,                0.84917,                0.61196,                      0,                      0,                    inf,                      0,               0.006535,               0.006535,               0.006535
                     37,                0.98906,                 2.2337,                0.64121,                 1.2602,                0.77965,                0.74084,                0.79395,                0.62919,                0.80484,                0.75704,                0.82015,                0.60003,                      0,                      0,                    inf,                      0,               0.006436,               0.006436,               0.006436
                     38,                0.98717,                 2.2004,                0.63547,                 1.2516,                0.84227,                 0.7658,                0.83581,                 0.6433,                 0.8405,                0.76583,                0.82956,                0.60474,                      0,                      0,                    inf,                      0,               0.006337,               0.006337,               0.006337
                     39,                0.99934,                 2.2384,                0.63534,                 1.2554,                 0.8106,                0.74556,                0.79604,                0.63247,                0.81897,                0.75269,                0.81163,                0.58837,                      0,                      0,                    inf,                      0,               0.006238,               0.006238,               0.006238
                     40,                0.99206,                 2.1991,                0.63252,                 1.2515,                0.75402,                0.81728,                0.81515,                0.64652,                0.76207,                0.82761,                0.83644,                0.60585,                      0,                      0,                    inf,                      0,               0.006139,               0.006139,               0.006139
                     41,                0.98335,                 2.2247,                0.62603,                 1.2395,                 0.7447,                0.80281,                0.80323,                0.64351,                0.75806,                0.80554,                 0.8168,                  0.599,                      0,                      0,                    inf,                      0,                0.00604,                0.00604,                0.00604
                     42,                 0.9783,                 2.2015,                0.62638,                 1.2405,                0.83285,                0.76152,                0.84176,                0.64443,                0.82954,                0.76781,                0.83995,                0.60764,                      0,                      0,                    inf,                      0,               0.005941,               0.005941,               0.005941
                     43,                0.96119,                 2.1494,                0.60159,                 1.2301,                0.87126,                 0.7563,                0.84704,                0.66284,                0.88466,                0.76296,                0.86192,                0.62242,                      0,                      0,                    inf,                      0,               0.005842,               0.005842,               0.005842
                     44,                0.97065,                 2.1736,                0.62284,                 1.2423,                0.90051,                 0.7467,                0.85651,                0.66059,                 0.8915,                0.74419,                0.84872,                0.62744,                      0,                      0,                    inf,                      0,               0.005743,               0.005743,               0.005743
                     45,                0.93353,                 2.1213,                 0.5851,                  1.215,                0.84589,                0.75034,                0.82522,                0.65876,                0.86469,                0.76047,                0.84614,                 0.6261,                      0,                      0,                    inf,                      0,               0.005644,               0.005644,               0.005644
                     46,                0.95621,                 2.1346,                0.59839,                 1.2292,                0.76045,                 0.8181,                0.82793,                0.66646,                0.76325,                0.82465,                0.84405,                0.62646,                      0,                      0,                    inf,                      0,               0.005545,               0.005545,               0.005545
                     47,                 0.9486,                 2.0761,                0.59161,                 1.2151,                0.83023,                0.79789,                0.86902,                0.68134,                0.83219,                0.79561,                  0.862,                0.64938,                      0,                      0,                    inf,                      0,               0.005446,               0.005446,               0.005446
                     48,                0.93181,                 2.1397,                0.58046,                  1.209,                0.78218,                0.81985,                0.83082,                0.66047,                0.76475,                 0.8109,                 0.8159,                0.60959,                      0,                      0,                    inf,                      0,               0.005347,               0.005347,               0.005347
                     49,                0.93107,                 2.0983,                  0.576,                 1.2091,                0.86395,                0.77044,                0.85928,                0.68839,                 0.8672,                0.76775,                0.86481,                0.64151,                      0,                      0,                    inf,                      0,               0.005248,               0.005248,               0.005248
                     50,                0.93684,                 2.1098,                0.58452,                 1.2183,                0.80996,                0.73447,                0.81075,                0.65972,                0.82825,                0.74898,                0.83012,                0.62976,                      0,                      0,                    inf,                      0,               0.005149,               0.005149,               0.005149
                     51,                 0.9247,                 2.1264,                0.57006,                 1.2035,                0.76371,                0.82159,                0.83659,                0.67418,                0.76461,                0.82565,                0.84295,                0.62793,                      0,                      0,                    inf,                      0,                0.00505,                0.00505,                0.00505
                     52,                0.90364,                 2.0611,                0.55783,                 1.1956,                0.76245,                0.82236,                0.81567,                0.65319,                0.75943,                0.81496,                0.81855,                0.61331,                      0,                      0,                    inf,                      0,               0.004951,               0.004951,               0.004951
                     53,                0.91792,                 2.0545,                0.56237,                 1.2036,                0.82003,                0.86446,                0.86862,                0.69572,                0.82079,                0.86514,                0.88275,                0.66396,                      0,                      0,                    inf,                      0,               0.004852,               0.004852,               0.004852
                     54,                0.90242,                 2.0318,                0.54962,                 1.1878,                0.81971,                0.77473,                0.81474,                0.66044,                0.83825,                 0.7898,                0.84641,                0.62554,                      0,                      0,                    inf,                      0,               0.004753,               0.004753,               0.004753
                     55,                0.91626,                 2.0782,                0.55507,                 1.1957,                0.86971,                0.80283,                0.84767,                0.67709,                0.87187,                0.80497,                0.85873,                0.63906,                      0,                      0,                    inf,                      0,               0.004654,               0.004654,               0.004654
                     56,                0.90573,                 1.9971,                0.54664,                 1.1922,                0.77515,                0.84409,                0.85392,                0.68073,                0.77849,                0.84943,                0.86618,                0.65109,                      0,                      0,                    inf,                      0,               0.004555,               0.004555,               0.004555
                     57,                0.89402,                 2.0426,                0.54316,                 1.1844,                0.76334,                  0.841,                0.86481,                0.67903,                0.75828,                 0.8358,                 0.8512,                 0.6358,                      0,                      0,                    inf,                      0,               0.004456,               0.004456,               0.004456
                     58,                0.88815,                 2.0377,                0.52981,                 1.1745,                0.84131,                0.77796,                0.85969,                0.69168,                0.83832,                0.77835,                0.85962,                0.64541,                      0,                      0,                    inf,                      0,               0.004357,               0.004357,               0.004357
                     59,                 0.8921,                 2.0018,                0.52819,                 1.1752,                0.81963,                0.77402,                0.85484,                0.67951,                0.83112,                0.78461,                0.86898,                0.64039,                      0,                      0,                    inf,                      0,               0.004258,               0.004258,               0.004258
                     60,                0.88401,                 1.9838,                0.52196,                  1.173,                0.85258,                0.79818,                0.85492,                0.69937,                0.85159,                0.79832,                0.85877,                0.65459,                      0,                      0,                    inf,                      0,               0.004159,               0.004159,               0.004159
                     61,                0.87035,                 1.9656,                0.51064,                 1.1665,                0.81867,                0.80711,                0.86866,                0.70375,                0.81484,                 0.8067,                0.86695,                0.66105,                      0,                      0,                    inf,                      0,                0.00406,                0.00406,                0.00406
                     62,                0.85262,                 1.9206,                0.50171,                 1.1547,                0.80309,                0.82854,                0.86791,                0.69096,                0.80236,                0.82862,                0.86509,                0.65926,                      0,                      0,                    inf,                      0,               0.003961,               0.003961,               0.003961
                     63,                0.85238,                 1.9278,                0.50617,                 1.1473,                0.81089,                0.85816,                0.87416,                0.70065,                0.81488,                0.86314,                0.88837,                0.67202,                      0,                      0,                    inf,                      0,               0.003862,               0.003862,               0.003862
                     64,                0.85518,                 1.9421,                0.50418,                 1.1494,                0.78199,                0.83949,                0.86842,                  0.707,                 0.7859,                0.84552,                  0.883,                0.67145,                      0,                      0,                    inf,                      0,               0.003763,               0.003763,               0.003763
                     65,                0.85409,                 1.9153,                0.50777,                 1.1591,                0.84477,                0.79908,                0.87725,                0.71637,                0.84671,                0.80314,                0.88382,                0.67747,                      0,                      0,                    inf,                      0,               0.003664,               0.003664,               0.003664
                     66,                0.85611,                 1.9248,                0.51039,                  1.152,                 0.8058,                0.81579,                 0.8605,                0.71174,                0.81425,                 0.8242,                0.86056,                0.65905,                      0,                      0,                    inf,                      0,               0.003565,               0.003565,               0.003565
                     67,                0.83581,                 1.8981,                0.49336,                 1.1411,                0.81989,                 0.8056,                0.85892,                0.69956,                0.83279,                0.81292,                0.86806,                0.66681,                      0,                      0,                    inf,                      0,               0.003466,               0.003466,               0.003466
                     68,                0.83029,                 1.8817,                0.47813,                 1.1361,                0.83647,                0.81279,                0.86199,                0.71266,                  0.851,                0.82303,                0.88293,                0.66227,                      0,                      0,                    inf,                      0,               0.003367,               0.003367,               0.003367
                     69,                0.82844,                 1.8801,                0.47572,                 1.1314,                0.84391,                0.78189,                0.85871,                0.70435,                0.84748,                0.78421,                0.86733,                0.66344,                      0,                      0,                    inf,                      0,               0.003268,               0.003268,               0.003268
                     70,                0.81734,                  1.867,                0.47309,                 1.1246,                0.82866,                 0.7665,                0.85128,                0.69358,                0.77062,                0.81215,                0.85362,                0.66151,                      0,                      0,                    inf,                      0,               0.003169,               0.003169,               0.003169
                     71,                0.81254,                 1.8262,                 0.4735,                 1.1232,                0.83646,                0.75301,                0.83505,                0.67707,                0.85029,                0.76059,                0.84485,                0.64107,                      0,                      0,                    inf,                      0,                0.00307,                0.00307,                0.00307
                     72,                0.83324,                  1.862,                0.48039,                  1.146,                0.90393,                   0.74,                0.85924,                0.70241,                0.89742,                0.73991,                0.85974,                0.66295,                      0,                      0,                    inf,                      0,               0.002971,               0.002971,               0.002971
                     73,                0.81926,                 1.8621,                0.46328,                 1.1247,                0.84837,                0.82264,                0.88314,                0.71052,                0.81085,                0.84119,                0.87519,                0.67918,                      0,                      0,                    inf,                      0,               0.002872,               0.002872,               0.002872
                     74,                 0.8134,                 1.8599,                0.47086,                 1.1187,                0.82333,                0.85219,                0.88332,                0.70403,                0.81845,                0.84799,                0.87635,                0.67495,                      0,                      0,                    inf,                      0,               0.002773,               0.002773,               0.002773
                     75,                 0.8019,                 1.7847,                0.45171,                   1.12,                0.84114,                0.80034,                0.86128,                0.70631,                0.82728,                0.77985,                 0.8454,                 0.6637,                      0,                      0,                    inf,                      0,               0.002674,               0.002674,               0.002674
                     76,                 0.7882,                 1.7989,                0.45344,                 1.1127,                0.82657,                0.80422,                0.86237,                0.70394,                0.83233,                0.80438,                0.85728,                0.65813,                      0,                      0,                    inf,                      0,               0.002575,               0.002575,               0.002575
                     77,                0.80204,                 1.8099,                0.44964,                 1.1172,                 0.8949,                0.76792,                0.87633,                0.71171,                0.89094,                0.77014,                0.86644,                0.66948,                      0,                      0,                    inf,                      0,               0.002476,               0.002476,               0.002476
