                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                0.97476,                 2.1152,                 1.3097,                 0.5871,                0.19759,                0.15458,                0.12615,                    nan,                    inf,                    nan,               0.070248,              0.0033058,              0.0033058
                      1,                0.90492,                 1.3975,                 1.2033,                0.77806,                0.39097,                0.44888,                0.31441,                    nan,                    inf,                    nan,               0.040182,              0.0065734,              0.0065734
                      2,                0.95514,                 1.1619,                 1.2204,                0.55718,                0.44802,                0.43636,                0.30187,                    nan,                    inf,                    nan,                0.01005,               0.009775,               0.009775
