                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     26,                  1.467,                 3.4287,                 1.1866,                 1.6448,                0.66801,                0.65494,                0.65653,                0.44599,                0.66678,                0.62542,                0.62772,                0.38191,                      0,                      0,                    inf,                      0,               0.007525,               0.007525,               0.007525
                     27,                 1.4747,                 3.4059,                 1.2008,                 1.6596,                0.63142,                0.60394,                 0.6004,                0.43287,                0.62068,                0.58113,                 0.5778,                0.36731,                      0,                      0,                    inf,                      0,               0.007426,               0.007426,               0.007426
                     28,                 1.4586,                 3.3697,                 1.1946,                 1.6396,                0.71735,                0.57633,                0.63454,                0.44947,                0.71691,                0.55684,                0.60777,                0.37292,                      0,                      0,                    inf,                      0,               0.007327,               0.007327,               0.007327
                     29,                 1.4505,                 3.3455,                 1.1829,                 1.6367,                0.70722,                0.64829,                0.67886,                0.48572,                0.71567,                 0.6481,                0.66835,                0.42301,                      0,                      0,                    inf,                      0,               0.007228,               0.007228,               0.007228
                     30,                 1.4419,                 3.3923,                 1.1664,                 1.6345,                0.71747,                0.64361,                0.69018,                0.49191,                0.68702,                0.63565,                0.67647,                0.42648,                      0,                      0,                    inf,                      0,               0.007129,               0.007129,               0.007129
                     31,                 1.4287,                 3.3111,                 1.1487,                 1.6221,                 0.6927,                0.62381,                0.69362,                0.47731,                0.67768,                0.60552,                0.65811,                0.39463,                      0,                      0,                    inf,                      0,                0.00703,                0.00703,                0.00703
                     32,                 1.4207,                 3.3432,                 1.1509,                 1.6249,                0.67537,                0.71307,                0.68108,                0.49183,                0.67163,                0.70677,                0.67363,                 0.4095,                      0,                      0,                    inf,                      0,               0.006931,               0.006931,               0.006931
                     33,                 1.4271,                 3.3204,                 1.1424,                 1.6193,                0.73513,                0.64577,                0.67929,                0.48517,                0.72784,                0.64604,                0.67624,                0.41872,                      0,                      0,                    inf,                      0,               0.006832,               0.006832,               0.006832
                     34,                 1.4405,                   3.31,                 1.1534,                 1.6349,                0.67081,                0.74839,                0.72146,                0.51644,                0.66365,                0.73102,                0.71079,                0.45634,                      0,                      0,                    inf,                      0,               0.006733,               0.006733,               0.006733
                     35,                 1.4151,                 3.2901,                 1.1236,                   1.61,                0.74026,                0.67489,                0.70512,                0.51293,                0.74323,                0.68068,                0.71426,                0.43864,                      0,                      0,                    inf,                      0,               0.006634,               0.006634,               0.006634
                     36,                 1.4354,                 3.3395,                 1.1453,                 1.6255,                0.76192,                 0.6409,                0.69873,                0.50518,                0.77745,                0.63927,                0.70339,                0.43106,                      0,                      0,                    inf,                      0,               0.006535,               0.006535,               0.006535
                     37,                 1.3984,                 3.2611,                  1.108,                 1.5998,                 0.7193,                 0.7332,                0.74522,                0.53463,                 0.7381,                0.71342,                0.73895,                0.45444,                      0,                      0,                    inf,                      0,               0.006436,               0.006436,               0.006436
                     38,                 1.3959,                 3.2595,                 1.1151,                 1.5964,                0.74967,                0.73358,                 0.7404,                0.51604,                0.73604,                0.71917,                0.71401,                0.44615,                      0,                      0,                    inf,                      0,               0.006337,               0.006337,               0.006337
                     39,                 1.3731,                 3.2418,                 1.0937,                 1.5766,                0.73536,                0.69467,                0.72512,                0.52518,                0.72963,                0.68856,                 0.7085,                0.44137,                      0,                      0,                    inf,                      0,               0.006238,               0.006238,               0.006238
                     40,                 1.3743,                 3.2234,                 1.0933,                 1.5792,                0.79692,                0.65551,                0.72091,                0.47845,                0.76761,                0.63134,                0.68683,                0.40151,                      0,                      0,                    inf,                      0,               0.006139,               0.006139,               0.006139
                     41,                 1.3794,                  3.236,                 1.0896,                 1.5795,                0.74471,                0.72183,                0.71261,                0.50567,                0.72707,                0.70457,                0.67891,                0.43349,                      0,                      0,                    inf,                      0,                0.00604,                0.00604,                0.00604
                     42,                 1.3619,                 3.2419,                  1.079,                 1.5703,                0.75507,                0.67146,                 0.7113,                0.50624,                0.78355,                0.67794,                0.70899,                0.42732,                      0,                      0,                    inf,                      0,               0.005941,               0.005941,               0.005941
                     43,                 1.3568,                 3.2115,                 1.0746,                 1.5762,                0.75953,                0.71801,                0.74146,                0.52603,                0.75574,                0.71444,                0.73622,                0.45915,                      0,                      0,                    inf,                      0,               0.005842,               0.005842,               0.005842
                     44,                 1.3591,                 3.2267,                 1.0805,                  1.575,                0.75781,                0.68646,                0.69995,                0.49243,                0.74873,                 0.6747,                0.68493,                  0.417,                      0,                      0,                    inf,                      0,               0.005743,               0.005743,               0.005743
                     45,                 1.3309,                 3.1431,                 1.0479,                 1.5508,                0.72794,                0.71061,                0.71336,                0.51935,                0.73592,                0.68854,                0.69309,                0.44004,                      0,                      0,                    inf,                      0,               0.005644,               0.005644,               0.005644
                     46,                 1.3352,                 3.1576,                 1.0542,                 1.5582,                0.77332,                 0.7064,                0.73318,                0.54073,                0.76766,                0.70027,                0.73052,                0.47179,                      0,                      0,                    inf,                      0,               0.005545,               0.005545,               0.005545
                     47,                 1.3313,                 3.1271,                 1.0482,                 1.5534,                0.74718,                0.72075,                0.70356,                 0.5125,                0.73111,                0.70328,                0.67696,                0.44055,                      0,                      0,                    inf,                      0,               0.005446,               0.005446,               0.005446
                     48,                 1.3128,                 3.1253,                  1.028,                 1.5358,                0.77526,                0.74126,                0.73228,                0.52853,                0.75648,                0.72278,                0.70647,                0.45754,                      0,                      0,                    inf,                      0,               0.005347,               0.005347,               0.005347
                     49,                 1.2951,                 3.0984,                 1.0195,                 1.5246,                0.76011,                0.70604,                0.74242,                0.54139,                0.74844,                0.69631,                0.72567,                0.46216,                      0,                      0,                    inf,                      0,               0.005248,               0.005248,               0.005248
                     50,                 1.3151,                 3.1404,                 1.0209,                 1.5408,                0.72019,                0.71883,                0.72155,                0.51885,                0.71301,                0.69393,                0.69874,                0.43867,                      0,                      0,                    inf,                      0,               0.005149,               0.005149,               0.005149
                     51,                    1.3,                 3.1114,                 1.0205,                 1.5227,                 0.7437,                0.73349,                0.72553,                0.53152,                0.71846,                0.74023,                0.70397,                0.45401,                      0,                      0,                    inf,                      0,                0.00505,                0.00505,                0.00505
