                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     26,                0.71084,                 1.4108,                0.51756,                 1.0998,                0.73069,                0.72081,                0.76983,                0.59874,                0.73462,                0.72561,                0.76282,                 0.5581,                      0,                      0,                    inf,                      0,               0.007525,               0.007525,               0.007525
                     27,                0.70799,                 1.4577,                0.51037,                 1.0928,                0.80585,                   0.71,                0.77954,                0.61389,                0.83187,                0.71448,                0.78322,                0.57139,                      0,                      0,                    inf,                      0,               0.007426,               0.007426,               0.007426
                     28,                 0.7036,                  1.448,                 0.5141,                 1.0963,                0.73826,                 0.7694,                0.78381,                 0.6295,                0.73803,                0.76841,                0.77987,                0.59366,                      0,                      0,                    inf,                      0,               0.007327,               0.007327,               0.007327
                     29,                0.69765,                 1.4637,                0.50742,                  1.092,                0.79221,                0.77495,                0.82368,                0.65296,                0.79672,                0.78141,                0.82795,                0.62365,                      0,                      0,                    inf,                      0,               0.007228,               0.007228,               0.007228
                     30,                0.69207,                 1.3726,                0.50291,                 1.1038,                0.79237,                0.80772,                0.84666,                0.69183,                0.77953,                0.81018,                0.84819,                0.65236,                      0,                      0,                    inf,                      0,               0.007129,               0.007129,               0.007129
                     31,                0.70034,                 1.4395,                0.50339,                 1.0944,                0.80533,                0.78309,                0.84085,                 0.6933,                0.82944,                0.79253,                0.85137,                0.65707,                      0,                      0,                    inf,                      0,                0.00703,                0.00703,                0.00703
                     32,                0.67436,                  1.407,                0.48798,                 1.0801,                 0.8073,                0.78547,                0.83438,                0.68574,                0.81162,                0.78557,                0.84097,                0.63563,                      0,                      0,                    inf,                      0,               0.006931,               0.006931,               0.006931
                     33,                0.67904,                 1.3556,                0.48188,                 1.0782,                0.80873,                  0.754,                0.81744,                0.67922,                0.81458,                0.75934,                0.82635,                0.64432,                      0,                      0,                    inf,                      0,               0.006832,               0.006832,               0.006832
                     34,                0.67641,                 1.3582,                0.48055,                 1.0798,                0.71487,                0.80155,                0.80121,                 0.6481,                0.71189,                0.79752,                0.78756,                0.61877,                      0,                      0,                    inf,                      0,               0.006733,               0.006733,               0.006733
                     35,                0.66595,                 1.3735,                0.46456,                  1.071,                0.82412,                0.81461,                0.86625,                0.69613,                0.82776,                0.80769,                0.85382,                 0.6432,                      0,                      0,                    inf,                      0,               0.006634,               0.006634,               0.006634
                     36,                0.66799,                 1.3694,                0.47458,                  1.079,                0.84617,                0.78062,                0.86418,                0.70636,                0.85109,                0.78289,                0.86875,                0.66626,                      0,                      0,                    inf,                      0,               0.006535,               0.006535,               0.006535
                     37,                0.68602,                 1.4124,                0.48774,                 1.0889,                0.82777,                0.82142,                0.87422,                0.71568,                0.83278,                0.82095,                0.87949,                0.68152,                      0,                      0,                    inf,                      0,               0.006436,               0.006436,               0.006436
                     38,                0.65264,                 1.2903,                0.45629,                 1.0727,                0.86196,                0.79702,                0.87265,                0.71507,                0.87141,                0.80471,                0.87991,                0.68067,                      0,                      0,                    inf,                      0,               0.006337,               0.006337,               0.006337
                     39,                0.66161,                 1.3216,                0.46428,                 1.0669,                0.82203,                0.85005,                0.87326,                0.72761,                0.81544,                0.84495,                0.87492,                0.68627,                      0,                      0,                    inf,                      0,               0.006238,               0.006238,               0.006238
                     40,                0.64985,                 1.3395,                0.45824,                 1.0635,                0.84926,                0.81886,                0.85987,                0.71784,                0.85152,                0.82591,                0.87239,                0.67709,                      0,                      0,                    inf,                      0,               0.006139,               0.006139,               0.006139
                     41,                 0.6591,                 1.2819,                0.44877,                 1.0674,                0.83954,                0.76353,                0.84848,                0.70972,                0.84043,                0.78999,                0.86212,                0.66754,                      0,                      0,                    inf,                      0,                0.00604,                0.00604,                0.00604
                     42,                0.63946,                  1.335,                0.44351,                 1.0609,                0.82068,                0.83451,                0.87592,                0.72749,                0.82093,                0.83874,                0.88508,                0.69396,                      0,                      0,                    inf,                      0,               0.005941,               0.005941,               0.005941
                     43,                0.63194,                 1.3245,                0.43732,                 1.0523,                0.86546,                0.83798,                0.88183,                 0.7312,                0.87975,                0.84903,                0.89191,                0.69047,                      0,                      0,                    inf,                      0,               0.005842,               0.005842,               0.005842
                     44,                0.62636,                 1.2466,                0.42382,                 1.0441,                0.83567,                0.84742,                0.87456,                0.72654,                0.85114,                0.86154,                   0.88,                0.68653,                      0,                      0,                    inf,                      0,               0.005743,               0.005743,               0.005743
                     45,                0.62966,                  1.267,                0.43055,                 1.0484,                0.77829,                0.86835,                0.88545,                0.72898,                0.80847,                 0.8505,                 0.8962,                0.69149,                      0,                      0,                    inf,                      0,               0.005644,               0.005644,               0.005644
                     46,                0.61722,                  1.209,                0.42197,                 1.0413,                0.85326,                0.83322,                0.87837,                0.73449,                0.86409,                0.84128,                0.87785,                0.69485,                      0,                      0,                    inf,                      0,               0.005545,               0.005545,               0.005545
                     47,                 0.6219,                 1.2528,                 0.4155,                 1.0445,                 0.8491,                0.80522,                0.86839,                0.70668,                0.87241,                0.81938,                0.87924,                0.67834,                      0,                      0,                    inf,                      0,               0.005446,               0.005446,               0.005446
                     48,                0.61581,                 1.2477,                0.41784,                 1.0496,                0.85161,                0.78772,                0.83664,                0.70584,                0.87582,                0.79774,                0.85444,                0.67157,                      0,                      0,                    inf,                      0,               0.005347,               0.005347,               0.005347
